time,open,close
2025-01-26 07:00:00,3.1322,3.142
2025-01-26 08:00:00,3.142,3.1347
2025-01-26 09:00:00,3.1346,3.115
2025-01-26 10:00:00,3.115,3.1247
2025-01-26 11:00:00,3.1247,3.1303
2025-01-26 12:00:00,3.1303,3.1257
2025-01-26 13:00:00,3.1257,3.1205
2025-01-26 14:00:00,3.1204,3.1168
2025-01-26 15:00:00,3.1168,3.1153
2025-01-26 16:00:00,3.1152,3.1181
2025-01-26 17:00:00,3.1182,3.12
2025-01-26 18:00:00,3.12,3.1322
2025-01-26 19:00:00,3.1322,3.131
2025-01-26 20:00:00,3.131,3.1258
2025-01-26 21:00:00,3.1259,3.0975
2025-01-26 22:00:00,3.0975,3.0813
2025-01-26 23:00:00,3.0813,3.0223
2025-01-27 00:00:00,3.0222,2.9893
2025-01-27 01:00:00,2.9894,2.9807
2025-01-27 02:00:00,2.9806,2.9775
2025-01-27 03:00:00,2.9776,3.0047
2025-01-27 04:00:00,3.0047,2.9618
2025-01-27 05:00:00,2.9617,2.9355
2025-01-27 06:00:00,2.9355,2.8565
2025-01-27 07:00:00,2.8564,2.8103
2025-01-27 08:00:00,2.8104,2.7928
2025-01-27 09:00:00,2.7929,2.828
2025-01-27 10:00:00,2.8279,2.762
2025-01-27 11:00:00,2.762,2.7886
2025-01-27 12:00:00,2.7886,2.8779
2025-01-27 13:00:00,2.8779,2.8686
2025-01-27 14:00:00,2.8686,2.9528
2025-01-27 15:00:00,2.9527,2.9566
2025-01-27 16:00:00,2.9566,2.9248
2025-01-27 17:00:00,2.9247,2.9135
2025-01-27 18:00:00,2.9136,2.891
2025-01-27 19:00:00,2.891,2.9159
2025-01-27 20:00:00,2.9159,3.0011
2025-01-27 21:00:00,3.001,3.013
2025-01-27 22:00:00,3.013,3.035
2025-01-27 23:00:00,3.035,3.0552
2025-01-28 00:00:00,3.0552,3.0384
2025-01-28 01:00:00,3.0384,3.0197
2025-01-28 02:00:00,3.0196,3.0605
2025-01-28 03:00:00,3.0605,3.0879
2025-01-28 04:00:00,3.088,3.1196
2025-01-28 05:00:00,3.1196,3.103
2025-01-28 06:00:00,3.1031,3.1014
2025-01-28 07:00:00,3.1013,3.1052
2025-01-28 08:00:00,3.1053,3.1042
2025-01-28 09:00:00,3.1042,3.1015
2025-01-28 10:00:00,3.1014,3.1161
2025-01-28 11:00:00,3.1162,3.137
2025-01-28 12:00:00,3.1371,3.1701
2025-01-28 13:00:00,3.1701,3.1486
2025-01-28 14:00:00,3.1487,3.159
2025-01-28 15:00:00,3.1591,3.1857
2025-01-28 16:00:00,3.1858,3.1767
2025-01-28 17:00:00,3.1768,3.1548
2025-01-28 18:00:00,3.1549,3.1372
2025-01-28 19:00:00,3.1371,3.1374
2025-01-28 20:00:00,3.1374,3.0787
2025-01-28 21:00:00,3.0787,3.0162
2025-01-28 22:00:00,3.0162,3.0749
2025-01-28 23:00:00,3.0749,3.0572
2025-01-29 00:00:00,3.0572,3.0761
2025-01-29 01:00:00,3.0761,3.0679
2025-01-29 02:00:00,3.068,3.0652
2025-01-29 03:00:00,3.0653,3.0843
2025-01-29 04:00:00,3.0843,3.0928
2025-01-29 05:00:00,3.0928,3.1197
2025-01-29 06:00:00,3.1197,3.1175
2025-01-29 07:00:00,3.1174,3.1061
2025-01-29 08:00:00,3.1061,3.1024
2025-01-29 09:00:00,3.1024,3.0813
2025-01-29 10:00:00,3.0813,3.0901
2025-01-29 11:00:00,3.0901,3.0867
2025-01-29 12:00:00,3.0867,3.064
2025-01-29 13:00:00,3.0639,3.0582
2025-01-29 14:00:00,3.0582,3.0617
2025-01-29 15:00:00,3.0618,3.0649
2025-01-29 16:00:00,3.0649,3.0403
2025-01-29 17:00:00,3.0403,3.0417
2025-01-29 18:00:00,3.0418,3.0655
2025-01-29 19:00:00,3.0655,3.0726
2025-01-29 20:00:00,3.0725,3.0968
2025-01-29 21:00:00,3.0967,3.0909
2025-01-29 22:00:00,3.091,3.0794
2025-01-29 23:00:00,3.0795,3.0683
2025-01-30 00:00:00,3.0683,3.0796
2025-01-30 01:00:00,3.0795,3.1009
2025-01-30 02:00:00,3.1009,3.1089
2025-01-30 03:00:00,3.1089,3.1216
2025-01-30 04:00:00,3.1216,3.1265
2025-01-30 05:00:00,3.1266,3.1165
2025-01-30 06:00:00,3.1166,3.1204
2025-01-30 07:00:00,3.1205,3.1085
2025-01-30 08:00:00,3.1086,3.0991
2025-01-30 09:00:00,3.0991,3.1099
2025-01-30 10:00:00,3.1099,3.108
