datetime,open,high,low,close_price,volume,SMA_10,RSI_14,MACD,MACD_signal
2025-01-16 06:00:00,3.0751,3.0764,3.05,3.0539,11523231.0,,,,
2025-01-16 07:00:00,3.0538,3.1222,3.0461,3.1222,22525031.0,,,,
2025-01-16 08:00:00,3.1222,3.15,3.089,3.091,30017029.0,,,,
2025-01-16 09:00:00,3.0908,3.1139,3.0452,3.0777,30849649.0,,,,
2025-01-16 10:00:00,3.0778,3.087,3.0281,3.0742,33508545.0,,,,
2025-01-16 11:00:00,3.0743,3.1112,3.07,3.1109,21656516.0,,,,
2025-01-16 12:00:00,3.1109,3.21,3.0877,3.1967,109555891.66,,,,
2025-01-16 13:00:00,3.1968,3.3478,3.1614,3.3386,96564124.96,,,,
2025-01-16 14:00:00,3.3385,3.3884,3.2563,3.2965,96583560.74,,,,
2025-01-16 15:00:00,3.2966,3.365,3.1869,3.2189,107240761.0,3.15806,,,
2025-01-16 16:00:00,3.2189,3.33,3.2149,3.3076,56877891.0,3.1834300000000004,,,
2025-01-16 17:00:00,3.3076,3.4,3.3043,3.3805,54792711.84,3.2092599999999996,,,
2025-01-16 18:00:00,3.3804,3.3873,3.32,3.3513,40017564.0,3.23529,,,
2025-01-16 19:00:00,3.3514,3.3697,3.3194,3.3506,23457367.0,3.26258,70.37330464463776,,
2025-01-16 20:00:00,3.3506,3.3914,3.3235,3.3495,23002711.0,3.29011,70.19284715863441,,
2025-01-16 21:00:00,3.3494,3.3503,3.2563,3.2921,46834252.0,3.3082299999999996,61.351898754159436,,
2025-01-16 22:00:00,3.292,3.3068,3.2432,3.2921,23458613.0,3.3177700000000003,61.35189875415944,,
2025-01-16 23:00:00,3.2921,3.2989,3.2004,3.225,26276397.0,3.3064099999999996,52.40348314836439,,
2025-01-17 00:00:00,3.2251,3.2579,3.1649,3.2451,30048005.0,3.30127,54.54234807048623,,
2025-01-17 01:00:00,3.245,3.2924,3.2437,3.2747,25213271.0,3.30685,57.56645951797226,,
2025-01-17 02:00:00,3.2746,3.2941,3.2555,3.2807,15571911.0,3.3041600000000004,58.17387057442824,,
